TradingDate,open,high,low,close,exclose,volume
2019-05-13 09:29:00,5.9,5.9,5.9,5.9,5.9,3844
2019-05-13 09:29:30,5.9,5.9,2.225,2.23,2.23,3844
2019-05-13 09:30:00,2.225,2.375,2.225,2.37,2.37,1
2019-05-13 09:30:30,2.41,2.55,2.41,2.55,2.55,203
2019-05-13 09:31:00,2.53,2.56,2.485,2.56,2.56,226
2019-05-13 09:31:30,2.53,2.54,2.5,2.53,2.53,256
2019-05-13 09:32:00,2.54,2.54,2.445,2.445,2.445,263
2019-05-13 09:32:30,2.44,2.44,2.375,2.405,2.405,290
2019-05-13 09:33:00,2.435,2.47,2.36,2.42,2.42,296
2019-05-13 09:33:30,2.43,2.455,2.38,2.44,2.44,333
2019-05-13 09:34:00,2.425,2.49,2.425,2.49,2.49,336
2019-05-13 09:34:30,2.495,2.55,2.47,2.525,2.525,346
2019-05-13 09:35:00,2.485,2.495,2.455,2.455,2.455,399
2019-05-13 09:35:30,2.445,2.51,2.445,2.45,2.45,410
2019-05-13 09:36:00,2.43,2.49,2.41,2.47,2.47,422
2019-05-13 09:36:30,2.45,2.465,2.41,2.445,2.445,435
2019-05-13 09:37:00,2.42,2.42,2.38,2.385,2.385,448
2019-05-13 09:37:30,2.41,2.465,2.41,2.425,2.425,451
2019-05-13 09:38:00,2.425,2.425,2.38,2.38,2.38,457
2019-05-13 09:38:30,2.345,2.555,2.345,2.555,2.555,467
2019-05-13 09:39:00,2.515,2.59,2.495,2.59,2.59,476
2019-05-13 09:39:30,2.6,2.64,2.58,2.64,2.64,522
2019-05-13 09:40:00,2.655,2.685,2.59,2.685,2.685,561
2019-05-13 09:40:30,2.685,2.71,2.645,2.645,2.645,618
2019-05-13 09:41:00,2.645,2.645,2.59,2.605,2.605,629
2019-05-13 09:41:30,2.625,2.69,2.625,2.655,2.655,629
2019-05-13 09:42:00,2.665,2.67,2.625,2.665,2.665,649
2019-05-13 09:42:30,2.66,2.66,2.595,2.595,2.595,654
2019-05-13 09:43:00,2.575,2.585,2.545,2.545,2.545,659
2019-05-13 09:43:30,2.515,2.515,2.475,2.475,2.475,666
2019-05-13 09:44:00,2.465,2.51,2.455,2.46,2.46,715
2019-05-13 09:44:30,2.47,2.47,2.425,2.445,2.445,720
2019-05-13 09:45:00,2.415,2.44,2.39,2.44,2.44,756
2019-05-13 09:45:30,2.44,2.5,2.41,2.5,2.5,786
2019-05-13 09:46:00,2.535,2.6,2.535,2.545,2.545,799
2019-05-13 09:46:30,2.515,2.515,2.44,2.44,2.44,809
2019-05-13 09:47:00,2.445,2.45,2.43,2.45,2.45,840
2019-05-13 09:47:30,2.455,2.555,2.395,2.555,2.555,850
2019-05-13 09:48:00,2.52,2.54,2.48,2.51,2.51,875
2019-05-13 09:48:30,2.52,2.56,2.5,2.515,2.515,885
2019-05-13 09:49:00,2.49,2.57,2.49,2.495,2.495,892
2019-05-13 09:49:30,2.475,2.475,2.375,2.375,2.375,896
2019-05-13 09:50:00,2.34,2.34,2.265,2.265,2.265,896
2019-05-13 09:50:30,2.24,2.255,2.22,2.22,2.22,908
2019-05-13 09:51:00,2.2,2.22,2.13,2.13,2.13,918
2019-05-13 09:51:30,2.12,2.145,2.085,2.145,2.145,938
2019-05-13 09:52:00,2.14,2.14,2.07,2.07,2.07,971
